190117 3742 995
510224 9614 186
020622 2944 284
590311 0126 591
710528 2826 698
561128 0687 788
110209 9931 789
520424 4099 596
710117 5920 280
601124 0747 883
970426 3590 699
870829 4668 996
030909 0684 086
630612 0377 192
110522 3986 484
560609 0008 181
410926 2312 081
150509 5546 198
830724 1366 087
140302 8162 695
490521 8244 890
690505 7614 895
930428 0519 686
620305 2289 891
181002 3150 294
721009 5354 581
041002 9631 892
460919 2112 794
760509 1294 084
601125 8117 986
001025 0829 897
510912 7585 994
180706 6940 394
970603 2551 394
590216 0573 793
500125 7481 299
071113 5262 694
140903 6157 980
760111 4183 889
640416 0301 798
150608 0807 480
600716 3409 985
990513 7093 586
610915 4628 490
820217 9069 692
550701 4574 580
491117 8334 188
610331 3463 380
661105 5346 282
071202 2609 996
581111 3039 295
570408 2672 180
690527 6421 491
020617 7110 896
670215 9051 389
790108 9881 496
740320 1351 295
990421 6331 497
801128 0665 297
050716 2678 293
161117 0381 092
190108 7887 290
790107 5135 988
161026 4619 996
820603 6321 896
730716 3194 785
860403 3020 986
550721 7661 294
460712 4497 893
060407 9744 090
140228 3865 687
141120 8978 397
440109 2753 889
651216 1127 699
930104 2024 082
530222 6880 787
940709 1500 284
420317 4515 894
500408 8734 281
500715 5421 889
531220 7621 385
010711 4111 098
100416 6625 293
540402 4225 895
100426 0441 081
950312 8913 980
901212 9464 288
650123 7838 193
501015 0073 882
020227 3962 682
000118 5116 598
061230 0603 493
850619 9228 090
780801 4593 198
061105 9697 299
580904 9063 897
050606 1434 790
900303 6525 999
450723 5490 485
840802 9454 687
461114 7487 695
711201 4393 580
590822 2193 183
871207 8392 589
040419 7780 699
481125 2809 080
420406 6602 886
550629 1022 482
851115 9313 287
981121 0866 690
000916 0491 090
521122 5704 380
110904 6389 699
151007 1897 289
730617 6176 399
001129 3088 091
990612 8083 686
150214 9052 692
540815 7437 284
580417 8773 080
910205 3476 097
810903 7536 485
570528 1137 589
010120 1790 696
020909 1770 184
970616 7129 586
561119 5189 887
930913 6584 999
690408 0510 281
810904 6095 888
180925 2815 791
461125 9463 182
780725 5842 185
730529 4288 389
150404 4339 885
651129 7914 194
980102 9802 087
710915 6052 081
130115 3707 283
540319 7616 580
420918 4304 991
600301 7383 580
770822 4830 483
731118 8029 990
831022 3281 697
760201 8416 198
050610 2097 097
080612 2979 591
061111 7010 794
750925 1167 084
940207 6701 083
470903 5565 182
090305 6130 890
690107 0779 097
561030 8863 597
111028 9903 887
800914 2867 095
640727 1752 483
661111 6051 297
601106 8417 292
811216 8124 899
450319 6433 795
801021 8550 690
690428 7700 096
420210 7991 092
590929 2477 384
460215 2488 797
070227 4436 481
080519 7791 486
041021 7687 091
420519 4683 286
470407 8737 187
010724 8630 099
510618 4475 489
800524 7013 398
590724 1578 998
701208 2206 792
751002 8599 082
620910 2380 194
980501 8988 382
560214 8916 195
030408 9487 189
930410 4185 396
840621 5617 482
490705 1241 789
490326 3313 592
070407 0219 185
900318 3553 289
760329 0292 987
181108 5808 482
130711 2627 495
510302 3221 088
570503 6671 796
631111 1903 082
850621 6170 497
171128 3482 881
110609 8313 590
040817 4540 398
730803 9165 782
051216 3571 593
460111 1919 492
920322 8408 297
420907 2122 081
081023 3039 395
410626 2206 997
881015 3206 889
930111 7192 190
551023 1954 899
491208 5233 190
020912 1799 393
861205 6143 482
770225 4217 096
851212 3248 386
071010 8892 185
030122 0416 781
010710 3257 284
510321 2085 580
090727 4019 091
190813 7044 094
030303 7368 880
830618 3200 881
770624 7566 581
461101 0903 581
950306 2806 790
650714 1795 997
571017 7007 596
940429 2887 598
670821 5290 193
650806 3738 395
061225 6012 496
830530 0657 285
890825 2884 189
850909 8981 481
510129 1553 094
950908 0610 782
481118 3982 890
070324 1126 091
901124 8004 898
490603 0354 596
700717 3980 197
670426 6215 282
170701 4963 983
570703 5401 393
990406 6529 281
940715 6530 595
681013 6233 585
170329 6191 789
440128 6320 899
130324 4450 187
480513 8158 693
770504 2210 784
130826 2206 781
880216 2258 596
881205 0112 196
030913 2178 882
651128 0643 394
781004 9537 196
801106 5703 691
680403 9895 597
511217 9673 498
611030 2326 180
550318 9850 393
510413 8418 892
030315 6489 981
910202 5049 199
630210 1545 382
450328 2143 489
030828 5767 489
781005 3340 980
090717 9405 698
681006 3057 796
171004 5577 386
410318 9964 991
930916 2300 982
971125 0965 298
720318 3000 481
450831 1200 187
780721 4334 083
140104 7055 593
181104 1236 190
740406 4151 792
911129 9596 598
621031 6587 198
940715 1001 093
180827 0670 299
831219 3016 197
700615 0175 398
150608 9932 891
060606 8804 183
460704 9326 788
610611 8167 794
920720 5340 789
400313 2123 293
971229 0625 680
010507 7039 188
790415 9077 885
531002 9334 886
120412 2872 397
600924 7062 496
780620 0932 383
030317 2010 480
801107 0948 483
831121 4596 495
820124 6903 892
750318 8377 394
010811 9227 991
991023 8298 096
830317 5941 482
000117 1933 885
180527 6827 283
181216 4603 786
690131 7259 787
810329 1957 385
600610 6842 796
580410 7214 390
880819 7919 880
061207 5178 497
910518 6439 798
470613 7726 791
620712 3518 783
500101 2939 896
500409 8503 891
910117 6711 484
470225 8842 587
950622 0350 283
601012 7741 498
540301 4805 992
910322 2226 780
420804 9673 796
100312 7086 889
690516 7930 187
110819 1606 781
500526 0252 994
990309 8900 997
420519 3061 384
180621 6522 291
510127 0644 192
700206 7478 992
631024 8501 995
900204 9488 487
550414 3700 281
640423 3192 098
780513 2372 088
610713 9606 189
421206 6157 386
720803 2782 994
491019 8832 584
780901 6278 499
911020 3434 691
170121 2696 980
850211 3989 094
570605 1416 192
590720 9293 593
040506 1549 981
760826 6368 795
790111 1116 391
450206 5390 698
470213 3747 383
860523 1914 790
630531 6190 284
710330 2236 994
041215 9602 490
150522 5376 594
101003 6588 896
570605 7340 396
810228 6283 383
770608 0557 280
591031 5969 591
430401 1058 681
080416 1436 790
141015 0707 995
421025 3520 099
780924 9504 299
090425 2389 684
420806 3079 892
700322 7001 087
690101 9089 091
890710 7885 096
451105 5982 590
590421 1861 095
690316 9461 083
660801 8970 285
770227 1475 484
761201 6618 984
160114 5913 493
611110 4533 387
481029 2809 785
100624 2057 681
951213 9944 682
090124 9460 594
680428 3295 084
910528 1664 586
530408 8000 888
140621 6176 199
700818 8603 584
480709 6940 185
661218 2940 099
050501 5006 986
180215 0275 892
771224 9069 495
020531 6769 286
820525 4486 381
950314 3874 080
920413 5132 081
001119 9228 085
910912 5050 485
421107 8016 886
590611 6439 498
820210 4211 295
180503 7200 183
440905 4092 582
950729 8503 380
641112 0686 081
820310 5108 189
050421 0743 393
490118 9672 796
461027 8391 782
640822 1649 194
840831 9551 895
441203 9318 595
070420 9991 994
810130 5320 989
530117 6430 789
521212 3528 380
700614 7955 884
080816 0972 991
910812 8715 191
170409 5621 992
940202 9462 195
